year,count,outcome,gender,age,region
2019,2,ihd,male,25,city_A
2018,1,stroke,male,25,city_A
2018,0.5,ihd,female,25,city_A
2018,0.5,ihd,female,25,city_C
2018,0,stroke,female,25,city_A
2018,1,stroke,female,25,city_C
2018,0,stroke,female,25,city_E
2018,0,stroke,female,25,city_B
2018,1,ihd,male,25,city_C
2018,1,ihd,male,25,city_E
2018,1,ihd,male,25,city_D
2018,4,ihd,male,25,city_B
2018,8,ihd,male,25,ALL
2020,0,stroke,female,25,city_A
2020,0.5,stroke,female,25,city_C
2019,1,ihd,male,25,city_C
2018,0.5,stroke,female,25,city_D
2018,0.5,ihd,male,25,city_A
2018,1,stroke,male,25,city_C
2018,2,stroke,male,25,city_E
2018,2,stroke,male,25,city_D
2018,3,stroke,male,25,city_B
2018,1,ihd,female,25,city_E
2018,0,ihd,female,25,city_D
2018,1.5,ihd,female,25,city_B
2019,0.5,ihd,female,25,city_A
2019,0.5,ihd,female,25,city_C
2019,0,ihd,female,25,city_D
2020,0,ihd,female,25,city_C
2020,0,ihd,female,25,city_E
2020,0,ihd,female,25,city_D
2019,0.5,ihd,female,25,city_E
2019,0,stroke,female,25,city_A
2019,0.5,stroke,female,25,city_C
2019,0.5,stroke,female,25,city_E
2019,0.5,stroke,female,25,city_D
2019,1,stroke,female,25,city_B
2019,2.5,stroke,female,25,ALL
2019,0.5,ihd,male,25,city_E
2019,0.5,ihd,male,25,city_D
2019,4.5,ihd,male,25,city_B
2019,8.5,ihd,male,25,ALL
2018,11,stroke,male,25,ALL
2019,0.5,stroke,male,25,city_A
2018,3.5,ihd,female,25,ALL
2019,1,stroke,male,25,city_E
2019,0.5,stroke,male,25,city_D
2019,2.5,stroke,male,25,city_B
2019,5,stroke,male,25,ALL
2019,2,ihd,female,25,city_B
2019,3.5,ihd,female,25,ALL
2020,0,ihd,female,25,city_A
2018,1.5,stroke,female,25,ALL
2019,0.5,stroke,male,25,city_C
2020,0,stroke,male,25,city_A
2020,0.5,stroke,male,25,city_C
2020,0,stroke,male,25,city_E
2020,0,stroke,male,25,city_D
2020,0,stroke,male,25,city_B
2020,1,stroke,male,25,ALL
2020,0.5,ihd,female,25,city_B
2020,0.5,ihd,female,25,ALL
2020,0.5,stroke,female,25,city_E
2020,0.5,stroke,female,25,city_D
2020,0,stroke,female,25,city_B
2020,2,stroke,female,25,ALL
2020,0,ihd,male,25,city_A
2020,0,ihd,male,25,city_D
2020,0,ihd,male,25,city_B
2020,0,ihd,male,25,ALL
2020,0,ihd,male,25,city_E
2020,0,ihd,male,25,city_C
2018,1,stroke,female,30,city_A
2018,1,stroke,female,35,city_A
2018,2.5,ihd,male,30,city_C
2018,2.5,ihd,male,35,city_C
2018,3,stroke,male,30,city_A
2018,3,stroke,male,35,city_A
2018,6,ihd,male,30,city_A
2018,6,ihd,male,35,city_A
2018,1,ihd,female,30,city_C
2018,1,ihd,female,35,city_C
2019,1.5,ihd,female,30,city_C
2019,1.5,ihd,female,35,city_C
2019,0,ihd,female,30,city_E
2019,0,ihd,female,35,city_E
2018,1.5,ihd,female,30,city_E
2018,1.5,ihd,female,35,city_E
2019,3.5,ihd,female,30,city_B
2019,3.5,ihd,female,35,city_B
2019,6.5,ihd,female,30,ALL
2019,6.5,ihd,female,35,ALL
2018,3,ihd,female,30,city_A
2018,3,ihd,female,35,city_A
2019,0,ihd,female,30,city_D
2019,0,ihd,female,35,city_D
2019,1.5,ihd,female,30,city_A
2019,1.5,ihd,female,35,city_A
2018,1.5,ihd,male,30,city_E
2018,1.5,ihd,male,35,city_E
2018,9,stroke,male,30,city_C
2018,9,stroke,male,35,city_C
2018,10,stroke,male,30,city_E
2018,10,stroke,male,35,city_E
2018,3,stroke,male,30,city_D
2018,3,stroke,male,35,city_D
2018,4,stroke,male,30,city_B
2018,4,stroke,male,35,city_B
2018,33,stroke,male,30,ALL
2018,33,stroke,male,35,ALL
2018,0,ihd,female,30,city_D
2018,0,ihd,female,35,city_D
2018,4.5,ihd,female,30,city_B
2018,4.5,ihd,female,35,city_B
2018,10,ihd,female,30,ALL
2018,10,ihd,female,35,ALL
2018,4,stroke,female,30,city_C
2018,4,stroke,female,35,city_C
2018,2.5,stroke,female,30,city_E
2018,2.5,stroke,female,35,city_E
2018,1.5,stroke,female,30,city_D
2018,1.5,stroke,female,35,city_D
2018,2,stroke,female,30,city_B
2018,2,stroke,female,35,city_B
2018,14,stroke,female,30,ALL
2018,14,stroke,female,35,ALL
2019,2,stroke,female,30,city_A
2019,2,stroke,female,35,city_A
2019,2.5,stroke,female,30,city_C
2019,2.5,stroke,female,35,city_C
2019,3.5,stroke,female,30,city_E
2019,3.5,stroke,female,35,city_E
2019,4,stroke,female,30,city_D
2019,4,stroke,female,35,city_D
2018,2,ihd,male,30,city_D
2018,2,ihd,male,35,city_D
2018,8.5,ihd,male,30,city_B
2018,8.5,ihd,male,35,city_B
2018,22.5,ihd,male,30,ALL
2018,22.5,ihd,male,35,ALL
2019,4,ihd,male,30,city_A
2019,4,ihd,male,35,city_A
2019,3.5,ihd,male,30,city_C
2019,3.5,ihd,male,35,city_C
2019,4.5,stroke,male,30,city_A
2019,4.5,stroke,male,35,city_A
2019,6.5,stroke,male,30,city_C
2019,6.5,stroke,male,35,city_C
2019,4.5,stroke,male,30,city_E
2019,4.5,stroke,male,35,city_E
2019,5.5,stroke,male,30,city_D
2019,5.5,stroke,male,35,city_D
2019,8.5,stroke,male,30,city_B
2019,8.5,stroke,male,35,city_B
2019,29.5,stroke,male,30,ALL
2019,29.5,stroke,male,35,ALL
2020,0,stroke,male,30,city_A
2020,0,stroke,male,35,city_A
2020,2,stroke,male,30,city_C
2020,2,stroke,male,35,city_C
2020,0,stroke,male,30,city_E
2020,0,stroke,male,35,city_E
2020,0,ihd,female,30,city_A
2020,0,ihd,female,35,city_A
2020,0,ihd,female,30,city_C
2020,0,ihd,female,35,city_C
2020,0,ihd,female,30,city_E
2020,0,ihd,female,35,city_E
2020,0,ihd,female,30,city_D
2020,0,ihd,female,35,city_D
2020,0.5,ihd,female,30,city_B
2020,0.5,ihd,female,35,city_B
2019,3,stroke,female,30,city_B
2019,3,stroke,female,35,city_B
2019,15,stroke,female,30,ALL
2019,15,stroke,female,35,ALL
2020,0.5,stroke,female,30,city_A
2020,0.5,stroke,female,35,city_A
2020,2,stroke,female,30,city_C
2020,2,stroke,female,35,city_C
2020,0,stroke,female,30,city_E
2020,0,stroke,female,35,city_E
2019,2.5,ihd,male,30,city_E
2019,2.5,ihd,male,35,city_E
2019,1.5,ihd,male,30,city_D
2019,1.5,ihd,male,35,city_D
2019,8,ihd,male,30,city_B
2019,8,ihd,male,35,city_B
2019,19.5,ihd,male,30,ALL
2019,19.5,ihd,male,35,ALL
2020,0,ihd,male,30,city_A
2020,0,ihd,male,35,city_A
2020,1.5,ihd,male,30,city_C
2020,1.5,ihd,male,35,city_C
2020,0.5,ihd,male,30,city_E
2020,0.5,ihd,male,35,city_E
2020,0,ihd,male,30,city_D
2020,0,ihd,male,35,city_D
2020,0,ihd,male,30,city_B
2020,0,ihd,male,35,city_B
2020,2.5,ihd,male,30,ALL
2020,2.5,ihd,male,35,ALL
2020,0.5,stroke,male,30,city_D
2020,0.5,stroke,male,35,city_D
2020,0.5,stroke,male,30,city_B
2020,0.5,stroke,male,35,city_B
2020,4,stroke,male,30,ALL
2020,4,stroke,male,35,ALL
2020,0.5,ihd,female,30,ALL
2020,0.5,ihd,female,35,ALL
2020,3.5,stroke,female,30,ALL
2020,3.5,stroke,female,35,ALL
2020,0.5,stroke,female,30,city_B
2020,0.5,stroke,female,35,city_B
2020,0,stroke,female,30,city_D
2020,0,stroke,female,35,city_D
2019,10,ihd,male,40,city_D
2019,10,ihd,male,45,city_D
2019,73.5,ihd,male,40,ALL
2019,73.5,ihd,male,45,ALL
2019,7.5,ihd,male,40,city_E
2019,7.5,ihd,male,45,city_E
2019,2.5,ihd,female,40,city_A
2019,2.5,ihd,female,45,city_A
2019,2.5,ihd,female,40,city_C
2019,2.5,ihd,female,45,city_C
2018,9,ihd,female,40,city_B
2018,9,ihd,female,45,city_B
2019,31,ihd,male,40,city_B
2019,31,ihd,male,45,city_B
2018,14,ihd,male,40,city_A
2018,14,ihd,male,45,city_A
2018,7.5,ihd,male,40,city_C
2018,7.5,ihd,male,45,city_C
2018,15,ihd,male,40,city_E
2018,15,ihd,male,45,city_E
2018,10,ihd,male,40,city_D
2018,10,ihd,male,45,city_D
2019,14,ihd,male,40,city_A
2019,14,ihd,male,45,city_A
2019,11,ihd,male,40,city_C
2019,11,ihd,male,45,city_C
2020,3,ihd,male,40,city_D
2020,3,ihd,male,45,city_D
2020,3.5,ihd,male,40,city_B
2020,3.5,ihd,male,45,city_B
2018,3,ihd,female,40,city_E
2018,3,ihd,female,45,city_E
2018,3,ihd,female,40,city_D
2018,3,ihd,female,45,city_D
2019,6.5,stroke,male,40,city_A
2019,6.5,stroke,male,45,city_A
2018,27,ihd,female,40,ALL
2018,27,ihd,female,45,ALL
2019,3,ihd,female,40,city_E
2019,3,ihd,female,45,city_E
2019,3.5,ihd,female,40,city_D
2019,3.5,ihd,female,45,city_D
2019,13.5,ihd,female,40,city_B
2019,13.5,ihd,female,45,city_B
2020,1.5,ihd,female,40,city_B
2020,1.5,ihd,female,45,city_B
2020,6.5,ihd,female,40,ALL
2020,6.5,ihd,female,45,ALL
2018,13,stroke,female,40,city_E
2018,13,stroke,female,45,city_E
2018,9.5,stroke,female,40,city_D
2018,9.5,stroke,female,45,city_D
2018,15,stroke,female,40,city_B
2018,15,stroke,female,45,city_B
2018,54.5,stroke,female,40,ALL
2018,54.5,stroke,female,45,ALL
2019,3.5,stroke,female,40,city_A
2019,3.5,stroke,female,45,city_A
2019,11.5,stroke,female,40,city_C
2019,11.5,stroke,female,45,city_C
2019,12,stroke,female,40,city_E
2019,12,stroke,female,45,city_E
2019,15,stroke,female,40,city_D
2019,15,stroke,female,45,city_D
2018,21.5,ihd,male,40,city_B
2018,21.5,ihd,male,45,city_B
2018,72.5,ihd,male,40,ALL
2018,72.5,ihd,male,45,ALL
2020,0.5,stroke,female,40,city_A
2020,0.5,stroke,female,45,city_A
2020,2.5,stroke,female,40,city_C
2020,2.5,stroke,female,45,city_C
2020,1,stroke,female,40,city_E
2020,1,stroke,female,45,city_E
2020,1,stroke,female,40,city_D
2020,1,stroke,female,45,city_D
2020,1,stroke,female,40,city_B
2020,1,stroke,female,45,city_B
2020,9.5,stroke,female,40,ALL
2020,9.5,stroke,female,45,ALL
2020,0.5,ihd,male,40,city_A
2020,0.5,ihd,male,45,city_A
2020,2.5,ihd,male,40,city_C
2020,2.5,ihd,male,45,city_C
2020,3,ihd,male,40,city_E
2020,3,ihd,male,45,city_E
2018,16,stroke,male,40,city_A
2018,16,stroke,male,45,city_A
2018,18.5,stroke,male,40,city_C
2018,18.5,stroke,male,45,city_C
2020,17.5,ihd,male,40,ALL
2020,17.5,ihd,male,45,ALL
2018,6.5,ihd,female,40,city_A
2018,6.5,ihd,female,45,city_A
2018,4,ihd,female,40,city_C
2018,4,ihd,female,45,city_C
2018,27.5,stroke,male,40,city_B
2018,27.5,stroke,male,45,city_B
2018,120.5,stroke,male,40,ALL
2018,120.5,stroke,male,45,ALL
2019,28,stroke,male,40,city_C
2019,28,stroke,male,45,city_C
2019,29,stroke,male,40,city_E
2019,29,stroke,male,45,city_E
2019,21,stroke,male,40,city_D
2019,21,stroke,male,45,city_D
2019,30,stroke,male,40,city_B
2019,30,stroke,male,45,city_B
2019,114.5,stroke,male,40,ALL
2019,114.5,stroke,male,45,ALL
2020,1.5,stroke,male,40,city_A
2020,1.5,stroke,male,45,city_A
2019,25,ihd,female,40,ALL
2019,25,ihd,female,45,ALL
2020,1.5,ihd,female,40,city_A
2020,1.5,ihd,female,45,city_A
2020,1.5,ihd,female,40,city_C
2020,1.5,ihd,female,45,city_C
2020,0.5,ihd,female,40,city_E
2020,0.5,ihd,female,45,city_E
2020,0,ihd,female,40,city_D
2020,0,ihd,female,45,city_D
2018,3.5,stroke,female,40,city_A
2018,3.5,stroke,female,45,city_A
2018,9.5,stroke,female,40,city_C
2018,9.5,stroke,female,45,city_C
2019,15.5,stroke,female,40,city_B
2019,15.5,stroke,female,45,city_B
2019,58.5,stroke,female,40,ALL
2019,58.5,stroke,female,45,ALL
2018,31.5,stroke,male,40,city_E
2018,31.5,stroke,male,45,city_E
2018,16.5,stroke,male,40,city_D
2018,16.5,stroke,male,45,city_D
2020,5.5,stroke,male,40,city_C
2020,5.5,stroke,male,45,city_C
2020,2.5,stroke,male,40,city_E
2020,2.5,stroke,male,45,city_E
2020,1,stroke,male,40,city_D
2020,1,stroke,male,45,city_D
2020,3.5,stroke,male,40,city_B
2020,3.5,stroke,male,45,city_B
2020,22.5,stroke,male,40,ALL
2020,22.5,stroke,male,45,ALL
2018,23,stroke,female,50,city_C
2018,23,stroke,female,55,city_C
2018,23,stroke,female,50,city_A
2018,23,stroke,female,55,city_A
2018,37,stroke,female,50,city_E
2018,37,stroke,female,55,city_E
2018,17,ihd,male,50,city_C
2018,17,ihd,male,55,city_C
2018,17,ihd,female,50,city_A
2018,17,ihd,female,55,city_A
2018,7,ihd,female,50,city_C
2018,7,ihd,female,55,city_C
2018,18,ihd,female,50,city_E
2018,18,ihd,female,55,city_E
2019,5,ihd,female,50,city_A
2019,5,ihd,female,55,city_A
2019,13.5,ihd,female,50,city_C
2019,13.5,ihd,female,55,city_C
2020,7,ihd,female,50,city_C
2020,7,ihd,female,55,city_C
2020,3,ihd,female,50,city_E
2020,3,ihd,female,55,city_E
2020,3.5,ihd,female,50,city_D
2020,3.5,ihd,female,55,city_D
2018,18.5,stroke,female,50,city_D
2018,18.5,stroke,female,55,city_D
2018,43.5,stroke,female,50,city_B
2018,43.5,stroke,female,55,city_B
2018,154,stroke,female,50,ALL
2018,154,stroke,female,55,ALL
2018,36.5,ihd,male,50,city_A
2018,36.5,ihd,male,55,city_A
2019,30.5,stroke,female,50,city_C
2019,30.5,stroke,female,55,city_C
2018,35,ihd,male,50,city_E
2018,35,ihd,male,55,city_E
2018,16,ihd,male,50,city_D
2018,16,ihd,male,55,city_D
2018,56.5,ihd,male,50,city_B
2018,56.5,ihd,male,55,city_B
2018,169.5,ihd,male,50,ALL
2018,169.5,ihd,male,55,ALL
2019,20,ihd,male,50,city_C
2019,20,ihd,male,55,city_C
2019,29,ihd,male,50,city_E
2019,29,ihd,male,55,city_E
2019,21.5,ihd,male,50,city_D
2019,21.5,ihd,male,55,city_D
2019,67.5,ihd,male,50,city_B
2019,67.5,ihd,male,55,city_B
2018,8.5,ihd,female,50,city_D
2018,8.5,ihd,female,55,city_D
2018,23,ihd,female,50,city_B
2018,23,ihd,female,55,city_B
2018,76.5,ihd,female,50,ALL
2018,76.5,ihd,female,55,ALL
2019,67,stroke,male,50,city_E
2019,67,stroke,male,55,city_E
2019,47.5,stroke,male,50,city_D
2019,47.5,stroke,male,55,city_D
2019,12,ihd,female,50,city_E
2019,12,ihd,female,55,city_E
2019,10.5,ihd,female,50,city_D
2019,10.5,ihd,female,55,city_D
2019,24.5,ihd,female,50,city_B
2019,24.5,ihd,female,55,city_B
2019,65.5,ihd,female,50,ALL
2019,65.5,ihd,female,55,ALL
2020,3.5,ihd,female,50,city_A
2020,3.5,ihd,female,55,city_A
2019,12.5,stroke,female,50,city_A
2019,12.5,stroke,female,55,city_A
2019,30,stroke,female,50,city_E
2019,30,stroke,female,55,city_E
2019,28.5,stroke,female,50,city_D
2019,28.5,stroke,female,55,city_D
2019,45.5,stroke,female,50,city_B
2019,45.5,stroke,female,55,city_B
2019,147.5,stroke,female,50,ALL
2019,147.5,stroke,female,55,ALL
2020,2.5,stroke,female,50,city_A
2020,2.5,stroke,female,55,city_A
2019,21.5,ihd,male,50,city_A
2019,21.5,ihd,male,55,city_A
2020,10,stroke,female,50,city_C
2020,10,stroke,female,55,city_C
2020,2.5,stroke,female,50,city_E
2020,2.5,stroke,female,55,city_E
2020,3,stroke,female,50,city_D
2020,3,stroke,female,55,city_D
2020,5,stroke,female,50,city_B
2020,5,stroke,female,55,city_B
2020,29,stroke,female,50,ALL
2020,29,stroke,female,55,ALL
2019,160,ihd,male,50,ALL
2019,160,ihd,male,55,ALL
2020,0,ihd,male,50,city_A
2020,0,ihd,male,55,city_A
2020,8,ihd,male,50,city_C
2020,8,ihd,male,55,city_C
2018,37,stroke,male,50,city_A
2018,37,stroke,male,55,city_A
2018,48,stroke,male,50,city_C
2018,48,stroke,male,55,city_C
2018,65,stroke,male,50,city_E
2018,65,stroke,male,55,city_E
2018,34.5,stroke,male,50,city_D
2018,34.5,stroke,male,55,city_D
2018,61,stroke,male,50,city_B
2018,61,stroke,male,55,city_B
2018,265.5,stroke,male,50,ALL
2018,265.5,stroke,male,55,ALL
2019,21,stroke,male,50,city_A
2019,21,stroke,male,55,city_A
2019,50.5,stroke,male,50,city_C
2019,50.5,stroke,male,55,city_C
2019,77,stroke,male,50,city_B
2019,77,stroke,male,55,city_B
2019,264,stroke,male,50,ALL
2019,264,stroke,male,55,ALL
2020,2,stroke,male,50,city_A
2020,2,stroke,male,55,city_A
2020,9,stroke,male,50,city_C
2020,9,stroke,male,55,city_C
2020,4.5,stroke,male,50,city_E
2020,4.5,stroke,male,55,city_E
2020,3.5,stroke,male,50,city_D
2020,3.5,stroke,male,55,city_D
2020,8,stroke,male,50,city_B
2020,8,stroke,male,55,city_B
2020,34,stroke,male,50,ALL
2020,34,stroke,male,55,ALL
2020,6,ihd,female,50,city_B
2020,6,ihd,female,55,city_B
2020,7.5,ihd,male,50,city_E
2020,7.5,ihd,male,55,city_E
2020,4.5,ihd,male,50,city_D
2020,4.5,ihd,male,55,city_D
2020,6.5,ihd,male,50,city_B
2020,6.5,ihd,male,55,city_B
2020,38.5,ihd,male,50,ALL
2020,38.5,ihd,male,55,ALL
2020,27.5,ihd,female,50,ALL
2020,27.5,ihd,female,55,ALL
2018,43,stroke,male,60,city_A
2018,43,stroke,male,65,city_A
2018,19,ihd,male,60,city_C
2018,19,ihd,male,65,city_C
2018,181.5,ihd,male,60,ALL
2018,181.5,ihd,male,65,ALL
2019,30.5,ihd,male,60,city_A
2019,30.5,ihd,male,65,city_A
2018,22.5,ihd,female,60,city_A
2018,22.5,ihd,female,65,city_A
2018,13,ihd,female,60,city_E
2018,13,ihd,female,65,city_E
2018,37.5,ihd,male,60,city_A
2018,37.5,ihd,male,65,city_A
2018,8.5,ihd,female,60,city_D
2018,8.5,ihd,female,65,city_D
2018,13.5,ihd,female,60,city_C
2018,13.5,ihd,female,65,city_C
2018,27.5,stroke,female,60,city_A
2018,27.5,stroke,female,65,city_A
2018,28.5,stroke,female,60,city_C
2018,28.5,stroke,female,65,city_C
2019,10,stroke,female,60,city_A
2019,10,stroke,female,65,city_A
2019,40.5,stroke,female,60,city_C
2019,40.5,stroke,female,65,city_C
2019,35,stroke,female,60,city_E
2019,35,stroke,female,65,city_E
2018,38.5,ihd,male,60,city_E
2018,38.5,ihd,male,65,city_E
2018,20.5,ihd,male,60,city_D
2018,20.5,ihd,male,65,city_D
2018,58.5,ihd,male,60,city_B
2018,58.5,ihd,male,65,city_B
2018,42.5,stroke,male,60,city_C
2018,42.5,stroke,male,65,city_C
2018,61.5,stroke,male,60,city_E
2018,61.5,stroke,male,65,city_E
2018,40.5,stroke,male,60,city_D
2018,40.5,stroke,male,65,city_D
2018,97,stroke,male,60,city_B
2018,97,stroke,male,65,city_B
2018,306.5,stroke,male,60,ALL
2018,306.5,stroke,male,65,ALL
2018,34,ihd,female,60,city_B
2018,34,ihd,female,65,city_B
2018,94,ihd,female,60,ALL
2018,94,ihd,female,65,ALL
2019,16.5,ihd,female,60,city_A
2019,16.5,ihd,female,65,city_A
2019,15,ihd,female,60,city_C
2019,15,ihd,female,65,city_C
2019,12.5,ihd,female,60,city_E
2019,12.5,ihd,female,65,city_E
2019,14,ihd,female,60,city_D
2019,14,ihd,female,65,city_D
2019,73,ihd,female,60,city_B
2019,73,ihd,female,65,city_B
2019,132,ihd,female,60,ALL
2019,132,ihd,female,65,ALL
2018,35,stroke,female,60,city_E
2018,35,stroke,female,65,city_E
2018,32.5,stroke,female,60,city_D
2018,32.5,stroke,female,65,city_D
2018,56,stroke,female,60,city_B
2018,56,stroke,female,65,city_B
2018,188.5,stroke,female,60,ALL
2018,188.5,stroke,female,65,ALL
2019,38,stroke,female,60,city_D
2019,38,stroke,female,65,city_D
2019,109,stroke,female,60,city_B
2019,109,stroke,female,65,city_B
2019,235.5,stroke,female,60,ALL
2019,235.5,stroke,female,65,ALL
2020,2,stroke,female,60,city_A
2020,2,stroke,female,65,city_A
2020,6.5,stroke,female,60,city_C
2020,6.5,stroke,female,65,city_C
2019,28.5,ihd,male,60,city_C
2019,28.5,ihd,male,65,city_C
2019,32,ihd,male,60,city_E
2019,32,ihd,male,65,city_E
2019,30,ihd,male,60,city_D
2019,30,ihd,male,65,city_D
2019,113.5,ihd,male,60,city_B
2019,113.5,ihd,male,65,city_B
2019,235.5,ihd,male,60,ALL
2019,235.5,ihd,male,65,ALL
2020,7,ihd,male,60,city_A
2020,7,ihd,male,65,city_A
2020,10,ihd,male,60,city_C
2020,10,ihd,male,65,city_C
2020,9,ihd,male,60,city_E
2020,9,ihd,male,65,city_E
2020,5,ihd,male,60,city_D
2020,5,ihd,male,65,city_D
2019,20.5,stroke,male,60,city_A
2019,20.5,stroke,male,65,city_A
2019,64,stroke,male,60,city_C
2019,64,stroke,male,65,city_C
2019,51.5,stroke,male,60,city_E
2019,51.5,stroke,male,65,city_E
2019,51,stroke,male,60,city_D
2019,51,stroke,male,65,city_D
2019,168,stroke,male,60,city_B
2019,168,stroke,male,65,city_B
2019,358.5,stroke,male,60,ALL
2019,358.5,stroke,male,65,ALL
2020,2.5,stroke,male,60,city_A
2020,2.5,stroke,male,65,city_A
2020,11.5,stroke,male,60,city_C
2020,11.5,stroke,male,65,city_C
2020,5.5,stroke,male,60,city_E
2020,5.5,stroke,male,65,city_E
2020,3,ihd,female,60,city_A
2020,3,ihd,female,65,city_A
2020,6,ihd,female,60,city_C
2020,6,ihd,female,65,city_C
2020,3.5,ihd,female,60,city_E
2020,3.5,ihd,female,65,city_E
2020,3.5,ihd,female,60,city_D
2020,3.5,ihd,female,65,city_D
2020,4,ihd,female,60,city_B
2020,4,ihd,female,65,city_B
2020,5,stroke,female,60,city_E
2020,5,stroke,female,65,city_E
2020,5,stroke,female,60,city_D
2020,5,stroke,female,65,city_D
2020,4.5,stroke,female,60,city_B
2020,4.5,stroke,female,65,city_B
2020,28.5,stroke,female,60,ALL
2020,28.5,stroke,female,65,ALL
2020,13,ihd,male,60,city_B
2020,13,ihd,male,65,city_B
2020,61,ihd,male,60,ALL
2020,61,ihd,male,65,ALL
2020,12,stroke,male,60,city_B
2020,12,stroke,male,65,city_B
2020,43.5,stroke,male,60,ALL
2020,43.5,stroke,male,65,ALL
2020,5.5,stroke,male,60,city_D
2020,5.5,stroke,male,65,city_D
2020,29,ihd,female,60,ALL
2020,29,ihd,female,65,ALL
2018,19,ihd,male,70,city_E
2018,19,ihd,male,75,city_E
2018,10,ihd,female,70,city_D
2018,10,ihd,female,75,city_D
2019,18,ihd,female,70,city_A
2019,18,ihd,female,75,city_A
2019,13,ihd,female,70,city_C
2019,13,ihd,female,75,city_C
2018,31.5,ihd,female,70,city_B
2018,31.5,ihd,female,75,city_B
2018,84.5,ihd,female,70,ALL
2018,84.5,ihd,female,75,ALL
2019,39,ihd,female,70,city_B
2019,39,ihd,female,75,city_B
2019,11.5,ihd,female,70,city_E
2019,11.5,ihd,female,75,city_E
2019,15.5,ihd,female,70,city_D
2019,15.5,ihd,female,75,city_D
2018,33,stroke,female,70,city_A
2018,33,stroke,female,75,city_A
2018,13,stroke,female,70,city_C
2018,13,stroke,female,75,city_C
2018,40,stroke,female,70,city_E
2018,40,stroke,female,75,city_E
